Station Name;Lat;Lon
Проспект Ветеранов;59.84188;30.251543
Ленинский проспект;59.851677;30.268279
Автово;59.867369;30.261345
Кировский завод;59.879726;30.261908
Нарвская;59.901169;30.274676
Балтийская;59.907245;30.299217
Технологический институт-1;59.916799;30.318967
Пушкинская;59.920757;30.329641
Владимирская;59.927467;30.347875
Площадь Восстания;59.931483;30.36036
Чернышевская;59.944558;30.359754
Площадь Ленина;59.955725;30.355957
Выборгская;59.97111;30.347553
Лесная;59.98477;30.344201
Площадь Мужества;59.999655;30.366595
Политехническая;60.008926;30.370952
Академическая;60.012763;30.395706
Гражданский проспект;60.03481;30.418087
Девяткино;60.049799;30.442248
Купчино;59.829887;30.375399
Звёздная;59.833228;30.349616
Московская;59.852192;30.322206
Парк Победы;59.86659;30.321712
Электросила;59.879425;30.318658
Московские Ворота;59.891924;30.317751
Фрунзенская;59.906155;30.317509
Технологический институт-2;59.916622;30.318505
Сенная площадь;59.927090;30.320378
Невский проспект;59.935601;30.327134
Горьковская;59.956323;30.318724
Петроградская;59.966465;30.311432
Чёрная речка;59.985574;30.300792
Пионерская;60.002576;30.296791
Удельная;60.016707;30.315421
Озерки;60.037141;30.321529
Проспект Просвещения;60.051416;30.332632
Парнас;60.06715;30.334128
Приморская;59.948545;30.234526
Василеостровская;59.942927;30.278159
Гостиный Двор;59.934049;30.333772
Маяковская;59.931612;30.35491
Площадь Александра Невского-1;59.924314;30.385102
Елизаровская;59.896705;30.423637
Ломоносовская;59.877433;30.441951
Пролетарская;59.865275;30.47026
Обухово;59.848795;30.457805
Рыбацкое;59.830943;30.500455
Улица Дыбенко;59.907573;30.483292
Проспект Большевиков;59.919819;30.466908
Ладожская;59.93244;30.439474
Новочеркасская;59.92933;30.412918
Площадь Александра Невского-2;59.92365;30.383471
Лиговский проспект;59.920747;30.355245
Достоевская;59.928072;30.345746
Спасская;59.926839;30.319752
Международная;59.869966;30.379045
Бухарестская;59.883681;30.369673
Волковская;59.896265;30.35686
Обводный канал;59.914697;30.349361
Звенигородская;59.922304;30.335784
Садовая;59.927008;30.317456
Адмиралтейская;59.935877;30.314886
Спортивная-1;59.952078;30.291312
Спортивная-2;59.950365;30.287356
Чкаловская;59.961035;30.291964
Крестовский остров;59.971838;30.259427
Старая Деревня;59.989228;30.255169
Комендантский проспект;60.008356;30.258915
