Station Name;Lat;Lon
25th St;40.660396999999996;-73.998091
36th St;40.655144;-74.00354899999999
45th St;40.648939;-74.010006
53rd St;40.645069;-74.014034
59th St;40.641362;-74.017881
77th St;40.629742;-74.02551
86th St;40.622687;-74.028398
95th St;40.616622;-74.030876
9th St;40.670846999999995;-73.988302
Atlantic Av-Barclays Ctr;40.683665999999995;-73.97881
Bay Ridge Av;40.634966999999996;-74.023377
DeKalb Av;40.690635;-73.981824
Pacific St;40.683665999999995;-73.97881
Prospect Av;40.665414;-73.99287199999999
Union St;40.677316;-73.98311
Grand Central;40.752769;-73.979189
Times Square;40.755983;-73.98622900000001
14th St;40.738228;-73.996209
23rd St;40.742878000000005;-73.99282099999999
2nd Av;40.723402;-73.989938
34th St;40.749719;-73.98782299999999
42nd St;40.754222;-73.984569
47-50th Sts Rockefeller Center;40.758663;-73.981329
4th Av;40.670272;-73.989779
57th St;40.763971999999995;-73.97745
7th Av;40.666271;-73.980305
Bergen St;40.686145;-73.99086199999999
Broadway-Lafayette St;40.725297;-73.996204
Carroll St;40.680303;-73.995048
Church Av;40.644040999999994;-73.979678
Delancey St;40.718610999999996;-73.988114
East Broadway;40.713715;-73.990173
Fort Hamilton Parkway;40.650782;-73.975776
Grand St;40.718267;-73.993753
Prospect Park-15 St;40.660365000000006;-73.979493
Smith-9th St;40.67358;-73.995959
York St;40.699743;-73.986885
21st St;40.754203000000004;-73.942836
Lexington Av;40.764627000000004;-73.96611
Roosevelt Island;40.759145000000004;-73.95326
103rd St;40.796092;-73.961454
116th St;40.805085;-73.954882
125th St;40.811109;-73.952343
135th St;40.817894;-73.947649
145th St;40.824783000000004;-73.944216
14th St;40.740893;-74.00169
155th St;40.830518;-73.941514
163rd St - Amsterdam Av;40.836013;-73.939892
168th St - Washington Heights;40.840719;-73.939561
175th St;40.847390999999995;-73.939704
181st St;40.851695;-73.937969
190th St;40.859021999999996;-73.93418
23rd St;40.745906;-73.998041
34th St;40.752287;-73.993391
42nd St;40.757308;-73.989735
50th St;40.762456;-73.985984
59th St;40.768296;-73.981736
72nd St;40.775594;-73.97641
81st St - Museum of Natural History;40.781433;-73.972143
86th St;40.785868;-73.96891600000001
96th St;40.791646;-73.964699
Broadway-Nassau;40.710196999999994;-74.00769100000001
Canal St;40.720824;-74.005229
Cathedral Parkway-110th St;40.800605;-73.958158
Chambers St;40.714110999999995;-74.008585
Dyckman St-200th St;40.865491;-73.92727099999999
High St;40.699337;-73.990531
Inwood - 207th St;40.868072;-73.919899
Spring St;40.726227;-74.003739
West 4th St;40.732338;-74.000495
World Trade Center;40.712582;-74.009781
Jamaica-Van Wyck;40.702566;-73.816859
Parsons Blvd-Archer Av - Jamaica Center;40.702147;-73.801109
Sutphin Blvd-Archer Av - JFK;40.700486;-73.807969
30 Av-Grand Av;40.766779;-73.921479
36 Av-Washington Av;40.756803999999995;-73.929575
39 Av-Beebe Av;40.752882;-73.932755
Astoria Blvd-Hoyt Av;40.770258;-73.917843
Broadway;40.76182;-73.925508
Ditmars Blvd;40.775036;-73.91203399999999
7th Av;40.67705;-73.972367
Atlantic Av;40.684459999999994;-73.97689
Av H;40.62927;-73.961639
Av J;40.625039;-73.960803
Av M;40.617618;-73.959399
Av U;40.5993;-73.955929
Beverly Rd;40.644031;-73.964492
Brighton Beach;40.577621;-73.961376
Church Av;40.650527000000004;-73.962982
Cortelyou Rd;40.640927000000005;-73.963891
Kings Highway;40.608670000000004;-73.957734
Neck Rd;40.595246;-73.955161
Newkirk Av;40.635082000000004;-73.962793
